순위,키워드,카테고리,검색수요(추정),경쟁(추정),제작난이도,수익모델,가성비점수
1,육아휴직 급여 계산기,급여/노무,높음,낮음,보통,광고/채용제휴,15
2,프리랜서 3.3 환급 계산기,급여/노무,높음,낮음,보통,광고/채용제휴,15
3,BMI 계산기,건강/다이어트,매우높음,높음,쉬움,건강제휴,14
4,혈압 정상범위 계산기,건강/다이어트,중간,낮음,쉬움,건강제휴,14
5,대출 이자 계산기,대출/금융,매우높음,높음,보통,대출제휴,14
6,원리금균등상환 계산기,대출/금융,높음,보통,보통,대출제휴,14
7,주택담보대출 한도 계산기,대출/금융,높음,보통,보통,대출제휴,14
8,디딤돌대출 한도 계산기,대출/금융,중간,낮음,보통,대출제휴,14
9,보금자리론 계산기,대출/금융,중간,낮음,보통,대출제휴,14
10,햇살론 한도 계산기,대출/금융,중간,낮음,보통,대출제휴,14
11,신혼부부 전세대출 한도 계산기,대출/금융,중간,낮음,보통,대출제휴,14
12,중도상환수수료 계산기,대출/금융,중간,낮음,보통,대출제휴,14
13,DSR 계산기,대출/금융,높음,보통,보통,대출제휴,14
14,전세 보증금 대출 계산기,대출/금융,중간,낮음,보통,대출제휴,14
15,강아지 나이 계산기,반려동물,높음,보통,쉬움,펫제휴,14
16,고양이 나이 계산기,반려동물,높음,보통,쉬움,펫제휴,14
17,자동차보험료 계산기,보험,높음,보통,보통,보험제휴,14
18,해지환급금 계산기,보험,중간,낮음,보통,보험제휴,14
19,전기요금 계산기,생활/유틸,높음,보통,쉬움,광고/쇼핑제휴,14
20,예금 이자 계산기,예금/적금/투자,높음,보통,쉬움,은행제휴,14
21,적금 이자 계산기,예금/적금/투자,높음,보통,쉬움,은행제휴,14
22,복리 계산기,예금/적금/투자,높음,보통,쉬움,은행제휴,14
23,세후 이자 계산기,예금/적금/투자,중간,낮음,쉬움,은행제휴,14
24,이자소득세 계산기,예금/적금/투자,중간,낮음,쉬움,은행제휴,14
25,배당금 계산기,예금/적금/투자,중간,낮음,쉬움,은행제휴,14
