venue,region,type,hall,meal,vat,rental,guarantee,slot,month,verified,approved,source
,서울,컨벤션,,80000,포함,6250000,,,2025,n,,"mywedlog.com/review/998 — 세인트메리엘(강남) 식대 7~9만·대관 500-750만 중간값"
,서울,호텔,,210000,포함,,433,,2025,n,,"seoul.co.kr 2025-08-14 — 신라호텔 1인 21만(프렌치+웨딩국수)·433명 기준"
,서울,컨벤션,,74000,포함,6500000,250,,2025,n,,"threads.com/@bambi_ne_ — 서울 익명 식대 6.8-8.0만·대관 5-800만·보증 200-300 중간값"
,경기,채플/성당,,58000,포함,6500000,150,,2025,n,,"tyvld.meat2ja.com — 판교 W스퀘어 채플홀 식대 5만 후반·대관 650만·보증 150"
,대전,일반예식장,,46000,포함,4700000,,,2025,n,,"dailycc.net/775613 — 대전 식장A 2025 인상후 대관470만·식대4.6만"
,대전,컨벤션,,52000,포함,4800000,,,2025,n,,"dailycc.net/775613 — 대전 식장B 2025 인상후 대관480만·식대5.2만"
,제주,호텔,,130000,포함,4400000,,,2025,n,,"directwedding.co.kr/weddinghall/hall0440 — 제주해비치 식대12-14만·대관440만 중간값"
,대구,컨벤션,,53000,포함,3500000,,,2024,n,,"4.mjella.com — 대구 라테라스 식대5.3만·대관 정가350만"
,대구,일반예식장,,45000,포함,1750000,,,2025,n,,"directwedding.co.kr/weddinghall/hall0103 — 대구 칼라디움 식대4.5만·대관150-200만 중간값"
,인천,컨벤션,,117000,포함,5500000,300,,2025,n,,"thewedd.com/hall-161 — 인천 다르미앙 1인117,000·대관550만(견적예시)"
,경기,하우스웨딩,,63000,포함,6000000,,,2025,n,,"directwedding.co.kr/weddinghall/hall0485 — 수원 파티움하우스 뷔페6.3만·대관600만"
,경기,컨벤션,,62000,포함,6500000,,,2025,n,,"smartwedding-besthall.com/hotelritzkr — 수원 호텔리츠컨벤션 식대6.2만+·대관650만+"
